Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,700.700012,708.099976,695.700012,698.299988,693.564453,454452
2022-08-22,692.000000,693.599976,679.200012,682.599976,677.970886,428495
2022-08-23,676.000000,686.000000,675.200012,679.799988,675.189941,306225
2022-08-24,674.200012,688.400024,674.000000,686.799988,682.142456,219765
2022-08-25,691.099976,693.000000,681.599976,687.700012,683.036377,216764
2022-08-26,690.599976,691.200012,664.000000,669.000000,664.463135,425579
2022-08-29,655.000000,662.900024,651.000000,662.900024,658.404541,381544
2022-08-30,667.000000,675.500000,655.900024,661.799988,657.311951,270293
2022-08-31,664.799988,666.500000,647.500000,647.500000,643.108948,444863
2022-09-01,635.200012,638.000000,625.400024,632.799988,628.508667,532866
2022-09-02,638.200012,646.599976,629.799988,644.599976,640.228638,306092
2022-09-05,629.599976,635.900024,626.000000,635.000000,630.693726,291469
2022-09-06,633.200012,642.200012,629.099976,638.099976,633.772705,270512
2022-09-07,634.400024,644.200012,631.200012,641.400024,637.050354,234554
2022-09-08,644.700012,645.799988,630.400024,643.500000,639.136108,262423
2022-09-09,642.500000,654.400024,642.400024,652.299988,647.876404,300281
2022-09-12,652.500000,662.000000,649.400024,658.900024,654.431702,295910
2022-09-13,664.000000,668.900024,650.599976,650.900024,646.485962,336082
2022-09-14,645.700012,656.799988,645.000000,654.200012,649.763550,314609
2022-09-15,654.099976,658.400024,637.700012,641.400024,637.050354,334309
2022-09-16,634.000000,641.799988,630.099976,639.500000,635.163208,1069261
2022-09-19,632.900024,645.500000,627.900024,641.000000,636.653076,301806
2022-09-20,643.900024,651.400024,630.000000,634.000000,629.700500,326586
2022-09-21,630.000000,643.599976,621.799988,643.599976,639.235413,290585
2022-09-22,631.400024,641.299988,623.500000,624.900024,620.662231,383716
2022-09-23,629.299988,629.299988,603.200012,603.200012,599.109375,553484
2022-09-26,601.500000,621.299988,601.000000,606.799988,602.684937,401455
2022-09-27,611.900024,624.700012,604.000000,604.200012,600.102600,427226
2022-09-28,599.099976,614.200012,595.700012,613.200012,609.041565,471935
2022-09-29,610.200012,612.599976,598.700012,608.000000,603.876831,448908
2022-09-30,610.900024,613.500000,598.000000,610.400024,606.260559,477030
2022-10-03,601.000000,610.500000,594.700012,608.000000,603.876831,391198
2022-10-04,614.099976,647.500000,611.099976,646.799988,642.413696,574934
2022-10-05,644.200012,652.500000,632.599976,637.299988,632.978149,386410
2022-10-06,641.799988,643.000000,630.299988,635.099976,630.793030,227173
2022-10-07,632.599976,635.599976,616.500000,618.200012,614.007690,398908
2022-10-10,607.900024,617.299988,600.099976,610.500000,606.359863,332168
2022-10-11,605.299988,613.700012,601.799988,610.500000,606.359863,335449
2022-10-12,622.599976,630.299988,611.099976,621.900024,617.682617,471430
2022-10-13,624.000000,624.000000,595.299988,617.500000,613.312439,546414
2022-10-14,628.000000,641.500000,617.200012,625.200012,620.960205,446629
2022-10-17,627.599976,641.799988,614.099976,637.700012,633.375427,288699
2022-10-18,646.599976,646.900024,632.599976,636.099976,631.786255,278773
2022-10-19,635.500000,641.000000,625.000000,625.000000,620.761536,265234
2022-10-20,626.700012,636.500000,622.799988,634.000000,629.700500,360047
2022-10-21,626.500000,636.900024,619.900024,631.500000,627.217468,369381
2022-10-24,629.500000,644.599976,623.500000,635.900024,631.587646,324512
2022-10-25,641.000000,658.500000,637.200012,658.000000,653.537781,356513
2022-10-26,659.400024,663.599976,651.099976,663.000000,658.503845,383180
2022-10-27,658.000000,663.400024,651.599976,655.400024,650.955444,417211
2022-10-28,650.000000,651.099976,640.299988,649.299988,644.896729,333069
2022-10-31,649.000000,649.500000,638.099976,639.000000,634.666626,311885
2022-11-01,652.000000,663.799988,646.500000,650.799988,646.386597,246959
2022-11-02,655.599976,660.700012,634.700012,636.700012,632.382202,368720
2022-11-03,632.200012,632.799988,623.599976,630.000000,625.727661,282102
2022-11-04,638.000000,671.799988,637.200012,666.200012,661.682190,716225
2022-11-07,661.000000,665.500000,653.000000,656.000000,651.551331,388944
2022-11-08,651.900024,659.799988,647.700012,657.500000,653.041138,303787
2022-11-09,653.000000,661.099976,652.400024,658.000000,653.537781,256498
2022-11-10,650.000000,687.700012,647.700012,686.799988,682.142456,533108
2022-11-11,702.799988,712.500000,698.799988,706.200012,701.410889,625109
2022-11-14,704.500000,706.599976,698.400024,700.700012,695.948181,375821
2022-11-15,701.299988,710.799988,699.599976,704.200012,699.424438,307155
2022-11-16,702.099976,707.700012,693.200012,698.599976,693.862427,367391
2022-11-17,701.400024,703.500000,689.700012,696.799988,692.074646,324395
2022-11-18,700.799988,706.000000,694.200012,698.200012,693.465149,553905
2022-11-21,696.000000,702.700012,690.599976,699.299988,694.557678,302141
2022-11-22,697.000000,698.500000,687.400024,697.900024,693.167175,281532
2022-11-23,702.000000,703.000000,695.000000,701.900024,697.140076,231994
2022-11-24,700.000000,704.000000,697.099976,702.200012,697.438049,245547
2022-11-25,702.200012,702.500000,693.200012,700.200012,695.451599,312997
2022-11-28,694.700012,701.200012,690.599976,698.700012,693.961792,374156
2022-11-29,704.700012,706.900024,699.799988,702.000000,697.239380,294301
2022-11-30,708.000000,737.299988,706.500000,737.299988,732.299988,1688007
